Ürün Adı,Fiyat,Bellek Boyutu,Artırılmış (OC) Frekans,Teknik Puan,Link
MSI Radeon RX 5700 XT Mech OC,,8 GB,1925 MHz,64,https://www.epey.com/ekran-karti/msi-radeon-rx-5700-xt-mech-oc.html
Zotac Gaming GeForce RTX 2070 Super Mini,,8 GB,1770 MHz,64,https://www.epey.com/ekran-karti/zotac-gaming-geforce-rtx-2070-super-mini.html
Asus Radeon RX 5700 XT,,8 GB,1905 MHz,64,https://www.epey.com/ekran-karti/asus-radeon-rx-5700-xt.html
MSI GeForce RTX 2080 Ventus 8G OC,,8 GB,1800 MHz,64,https://www.epey.com/ekran-karti/msi-geforce-rtx-2080-ventus-8g-oc.html
Asus ROG Strix GeForce RTX 2080,,8 GB,1740 MHz,64,https://www.epey.com/ekran-karti/asus-rog-strix-geforce-rtx-2080.html
Asus Dual GeForce RTX 2080 OC,,8 GB,1830 MHz,64,https://www.epey.com/ekran-karti/asus-dual-geforce-rtx-2080-oc.html
MSI GeForce RTX 2080 Duke 8G,,8 GB,1710 MHz,64,https://www.epey.com/ekran-karti/msi-geforce-rtx-2080-duke-8g.html
ZOTAC Gaming GeForce RTX 2080,,8 GB,1710 MHz,64,https://www.epey.com/ekran-karti/zotac-gaming-geforce-rtx-2080.html
MSI Radeon RX 5700 XT Gaming X,,8 GB,1980 MHz,64,https://www.epey.com/ekran-karti/msi-radeon-rx-5700-xt-gaming-x.html
Asus Turbo GeForce RTX 2080,,8 GB,1740 MHz,64,https://www.epey.com/ekran-karti/asus-turbo-geforce-rtx-2080.html
Asus ROG Strix GeForce RTX 2070 Super OC Edition,,8 GB,1935 MHz,63,https://www.epey.com/ekran-karti/asus-rog-strix-geforce-rtx-2070-super-oc-edition.html
MSI Geforce RTX 2070 Super Ventus GP OC,,8 GB,1785 MHz,63,https://www.epey.com/ekran-karti/msi-geforce-rtx-2070-super-ventus-gp-oc.html
Gigabyte Aorus GeForce RTX 2070 Super,,8 GB,1905 MHz,63,https://www.epey.com/ekran-karti/gigabyte-aorus-geforce-rtx-2070-super.html
MSI GeForce RTX 2080 Ventus 8G,,8 GB,1710 MHz,63,https://www.epey.com/ekran-karti/msi-geforce-rtx-2080-ventus-8g.html
MSI GeForce RTX 2080 Aero 8G,,8 GB,1710 MHz,63,https://www.epey.com/ekran-karti/msi-geforce-rtx-2080-aero-8g.html
Gigabyte Radeon RX 5700 XT Gaming OC 8GB,,8 GB,1905 MHz,63,https://www.epey.com/ekran-karti/gigabyte-radeon-rx-5700-xt-gaming-oc-8gb.html
Asus Dual GeForce RTX 2080 Advanced Edition,,8 GB,1710 MHz,63,https://www.epey.com/ekran-karti/asus-dual-geforce-rtx-2080-advanced-edition.html
Inno3D GeForce RTX 2080 Twin X2,,8 GB,1710 MHz,63,https://www.epey.com/ekran-karti/inno3d-geforce-rtx-2080-twin-x2.html
Zotac GeForce GTX 1080 Ti AMP! Extreme,,11 GB,1759 MHz,63,https://www.epey.com/ekran-karti/zotac-geforce-gtx-1080-ti-amp-extreme.html
Gigabyte AORUS GeForce GTX 1080 Ti Xtreme Edition 11G,,11 GB,1746 MHz,63,https://www.epey.com/ekran-karti/gigabyte-aorus-geforce-gtx-1080-ti-xtreme-edition-11g.html
Sapphire Pulse Radeon RX 5700 XT,,8 GB,1925 MHz,63,https://www.epey.com/ekran-karti/sapphire-pulse-radeon-rx-5700-xt.html
Asus Dual GeForce RTX 2070 Super EVO OC,,8 GB,1845 MHz,63,https://www.epey.com/ekran-karti/asus-dual-geforce-rtx-2070-super-evo-oc.html
Asus ROG Strix GeForce RTX 2070 Super Advanced Edition,,8 GB,1830 MHz,63,https://www.epey.com/ekran-karti/asus-rog-strix-geforce-rtx-2070-super-advanced-edition.html
Gigabyte RTX 2070 Super Gaming OC 3X 8G,,8 GB,1815 MHz,63,https://www.epey.com/ekran-karti/gigabyte-rtx-2070-super-gaming-oc-3x-8g.html
Palit GeForce RTX 2070 Super JS,,8 GB,1815 MHz,63,https://www.epey.com/ekran-karti/palit-geforce-rtx-2070-super-js.html
Inno3D GeForce RTX 2070 Super iChill X3 Ultra,,8 GB,1815 MHz,63,https://www.epey.com/ekran-karti/inno3d-geforce-rtx-2070-super-ichill-x3-ultra.html
Gigabyte Radeon RX 5700 XT 8G,,8 GB,1905 MHz,63,https://www.epey.com/ekran-karti/gigabyte-radeon-rx-5700-xt-8g.html
MSI GeForce RTX 2070 Super Gaming X,,8 GB,1800 MHz,63,https://www.epey.com/ekran-karti/msi-geforce-rtx-2070-super-gaming-x.html
MSI Radeon RX 5700 XT 8G,,8 GB,1905 MHz,63,https://www.epey.com/ekran-karti/msi-radeon-rx-5700-xt-8g.html
Asus Turbo GeForce RTX 2070 Super Evo,,8 GB,1800 MHz,63,https://www.epey.com/ekran-karti/asus-turbo-geforce-rtx-2070-super-evo.html
MSI GeForce RTX 2070 Super Gaming X Trio,,8 GB,1800 MHz,63,https://www.epey.com/ekran-karti/msi-geforce-rtx-2070-super-gaming-x-trio.html
Gigabyte GeForce RTX 2070 Super Windforce OC 8G,,8 GB,1785 MHz,63,https://www.epey.com/ekran-karti/gigabyte-geforce-rtx-2070-super-windforce-oc-8g.html
MSI GeForce RTX 2070 Super Armor OC,,8 GB,1785 MHz,63,https://www.epey.com/ekran-karti/msi-geforce-rtx-2070-super-armor-oc.html
Gigabyte GTX 2070 Super Windforce 8G,,8 GB,1770 MHz,63,https://www.epey.com/ekran-karti/gigabyte-gtx-2070-super-windforce-8g.html
Galax GeForce RTX 2070 Super EX Gamer Black Edition,,8 GB,1815 MHz,63,https://www.epey.com/ekran-karti/galax-geforce-rtx-2070-super-ex-gamer-black-edition.html
Zotac GeForce GTX 1080 Ti AMP! Extreme Core Edition,,11 GB,1721 MHz,63,https://www.epey.com/ekran-karti/zotac-geforce-gtx-1080-ti-amp-extreme-core-edition.html
Asus ROG Strix GeForce GTX 1080 Ti O11G Gaming,,11 GB,1708 MHz,63,https://www.epey.com/ekran-karti/asus-rog-strix-gtx-1080-ti-o11g-gaming.html
Sapphire Radeon RX 5700 XT 8G GDDR6,,8 GB,1905 MHz,63,https://www.epey.com/ekran-karti/sapphire-radeon-rx-5700-xt-8g-gddr6.html
Gigabyte AORUS GeForce GTX 1080 Ti 11G,,11 GB,1708 MHz,63,https://www.epey.com/ekran-karti/gigabyte-aorus-geforce-gtx-1080-ti-11g.html
Zotac Gaming GeForce RTX 2070 Super AMP Extreme,,8 GB,1830 MHz,63,https://www.epey.com/ekran-karti/zotac-gaming-geforce-rtx-2070-super-amp-extreme.html
MSI Radeon RX 5700 Mech GP OC,,8 GB,1750 MHz,63,https://www.epey.com/ekran-karti/msi-radeon-rx-5700-mech-gp-oc.html
Asus ROG Strix GeForce RTX 2060 Super Evo OC,,8 GB,1860 MHz,63,https://www.epey.com/ekran-karti/asus-rog-strix-geforce-rtx-2060-super-evo-oc.html
EVGA GeForce GTX 1080 Ti FTW3 Gaming,,11 GB,1683 MHz,63,https://www.epey.com/ekran-karti/evga-geforce-gtx-1080-ti-ftw3-gaming.html
MSI GeForce GTX 1080 Ti Gaming X Trio,,11 GB,1683 MHz,63,https://www.epey.com/ekran-karti/msi-geforce-gtx-1080-ti-gaming-x-trio.html
Gigabyte GeForce RTX 2070 Super Windforce OC 3X 8G,,8 GB,1785 MHz,63,https://www.epey.com/ekran-karti/gigabyte-geforce-rtx-2070-super-windforce-oc-3x-8g.html
MSI GeForce RTX 2070 Super Ventus OC,,8 GB,1785 MHz,63,https://www.epey.com/ekran-karti/msi-geforce-rtx-2070-super-ventus-oc.html
Zotac Gaming GeForce RTX 2070 Super AMP,,8 GB,1800 MHz,63,https://www.epey.com/ekran-karti/zotac-gaming-geforce-rtx-2070-super-amp.html
Zotac GeForce GTX 1080 Ti AMP Edition,,11 GB,1683 MHz,63,https://www.epey.com/ekran-karti/zotac-geforce-gtx-1080-ti-amp-edition-zt-p10810d-10p.html
PowerColor Radeon RX 5700 XT 8GB GDDR6,,8 GB,1905 MHz,63,https://www.epey.com/ekran-karti/powercolor-radeon-rx-5700-xt-8gb-gddr6.html
Evga GeForce RTX 2070 Super Black Gaming,,8 GB,1770 MHz,63,https://www.epey.com/ekran-karti/evga-geforce-rtx-2070-super-black-gaming.html
MSI Radeon RX 5700 Mech GP,,8 GB,1725 MHz,63,https://www.epey.com/ekran-karti/msi-radeon-rx-5700-mech-gp.html
MSI GeForce GTX 1080 Ti Gaming X 11G,,11 GB,1683 MHz,63,https://www.epey.com/ekran-karti/msi-geforce-gtx-1080-ti-gaming-x-11g.html
Inno3D GeForce RTX 2070 Super Twin x2 OC,,8 GB,1785 MHz,63,https://www.epey.com/ekran-karti/inno3d-geforce-rtx-2070-super-twin-x2-oc.html
XFX Radeon RX 5700 DD Ultra 8GB GDDR6,,8 GB,1750 MHz,63,https://www.epey.com/ekran-karti/xfx-amd-radeon-rx-5700-dd-ultra-8gb-gddr6.html
EVGA GeForce GTX 1080 Ti SC Black Edition Gaming,,11 GB,1670 MHz,63,https://www.epey.com/ekran-karti/evga-geforce-gtx-1080-ti-sc-black-edition-gaming.html
Asus TUF Gaming X3 Radeon RX 5700 Evo OC,,8 GB,1750 MHz,63,https://www.epey.com/ekran-karti/asus-tuf-gaming-x3-radeon-rx-5700-evo-oc.html
Gigabyte GeForce GTX 1080 Ti Gaming OC 11G,,11 GB,1657 MHz,63,https://www.epey.com/ekran-karti/gigabyte-geforce-gtx-1080-ti-gaming-oc-11g.html
Gigabyte GeForce GTX 1080 Ti Gaming OC Black 11G,,11 GB,1657 MHz,63,https://www.epey.com/ekran-karti/gigabyte-geforce-gtx-1080-ti-gaming-oc-black-11g.html
Galax GeForce GTX 1080 Ti EXOC White,,11 GB,1645 MHz,63,https://www.epey.com/ekran-karti/galax-geforce-gtx-1080-ti-exoc-white.html
MSI GeForce GTX 1080 Ti Aero 11G OC,,11 GB,1620 MHz,62,https://www.epey.com/ekran-karti/msi-geforce-gtx-1080-ti-aero-11g-oc.html
ZOTAC GeForce GTX 1080 Ti Mini,,11 GB,1620 MHz,62,https://www.epey.com/ekran-karti/zotac-geforce-gtx-1080-ti-mini.html
Gigabyte GeForce GTX 1080 Ti Gaming 11G,,11 GB,1620 MHz,62,https://www.epey.com/ekran-karti/gigabyte-geforce-gtx-1080-ti-gaming-11g.html
Asus Dual GeForce RTX 2060 Super Evo V2 OC,,8 GB,1725 MHz,62,https://www.epey.com/ekran-karti/asus-dual-geforce-rtx-2060-super-evo-v2-oc.html
MSI GeForce GTX 1080 Ti Armor 11G OC,,11 GB,1645 MHz,62,https://www.epey.com/ekran-karti/msi-geforce-gtx-1080-ti-armor-11g-oc.html
Asus ROG Strix GeForce RTX 2070 8GB GDDR6,,8 GB,1650 MHz,62,https://www.epey.com/ekran-karti/asus-rog-strix-geforce-rtx-2070-8gb-gddr6.html
Asus Dual GeForce RTX 2070 Evo,,8 GB,1650 MHz,62,https://www.epey.com/ekran-karti/asus-dual-geforce-rtx-2070-evo.html
Asus ROG Strix GeForce RTX 2060 Super Evo Advanced,,8 GB,1710 MHz,62,https://www.epey.com/ekran-karti/asus-rog-strix-geforce-rtx-2060-super-evo-advanced.html
Asus Dual GeForce RTX 2070 Evo v2,,8 GB,1650 MHz,62,https://www.epey.com/ekran-karti/asus-dual-geforce-rtx-2070-evo-v2.html
Asus Dual GeForce RTX 2060 Super EVO Advanced Edition,,8 GB,1695 MHz,62,https://www.epey.com/ekran-karti/asus-dual-geforce-rtx-2060-super-evo-advanced-edition.html
Asus Dual GeForce RTX 2060 Super EVO Advanced Edition V2,,8 GB,1695 MHz,62,https://www.epey.com/ekran-karti/asus-dual-geforce-rtx-2060-super-evo-advanced-edition-v2.html
Asus ROG Strix GeForce RTX 2060 Super Evo,,8 GB,1680 MHz,62,https://www.epey.com/ekran-karti/asus-rog-strix-geforce-rtx-2060-super-evo.html
Palit GeForce GTX 1080 Ti JetStream,,11 GB,1582 MHz,62,https://www.epey.com/ekran-karti/palit-geforce-gtx-1080-ti-jetstream.html
Asus Turbo GeForce GTX 1080 Ti,,11 GB,1582 MHz,62,https://www.epey.com/ekran-karti/asus-turbo-geforce-gtx-1080-ti.html
MSI GeForce GTX 1080 Ti Aero 11G,,11 GB,1582 MHz,62,https://www.epey.com/ekran-karti/msi-geforce-gtx-1080-ti-aero-11g.html
Asus Dual GeForce RTX 2060 Super Evo V2,,8 GB,1680 MHz,62,https://www.epey.com/ekran-karti/asus-dual-geforce-rtx-2060-super-evo-v2.html
Gigabyte GeForce GTX 1080 Ti Turbo 11G,,11 GB,1620 MHz,62,https://www.epey.com/ekran-karti/gigabyte-geforce-gtx-1080-ti-turbo-11g.html
Asus ROG Strix Radeon RX 5700 OC,,8 GB,1750 MHz,62,https://www.epey.com/ekran-karti/asus-rog-strix-radeon-rx-5700-oc.html
Asus Dual GeForce RTX 2070 8GB GDDR6,,8 GB,1650 MHz,62,https://www.epey.com/ekran-karti/asus-dual-geforce-rtx-2070-8gb-gddr6.html
Zotac GeForce GTX 1080 Ti Blower,,11 GB,1582 MHz,62,https://www.epey.com/ekran-karti/zotac-geforce-gtx-1080-ti-blower.html
Evga GeForce RTX 2070 FTW3 Ultra,,8 GB,1815 MHz,62,https://www.epey.com/ekran-karti/evga-geforce-rtx-2070-ftw3-ultra.html
MSI GeForce GTX 1080 Ti Armor 11G,,11 GB,1582 MHz,62,https://www.epey.com/ekran-karti/msi-geforce-gtx-1080-ti-armor-11g.html
Gigabyte Geforce RTX 2060 Super Gaming OC White 8G,,8 GB,1815 MHz,62,https://www.epey.com/ekran-karti/gigabyte-geforce-rtx-2060-super-gaming-oc-white-8g.html
Asus Dual GeForce RTX 2070 8G Mini,,8 GB,1650 MHz,62,https://www.epey.com/ekran-karti/asus-dual-geforce-rtx-2070-8g-mini.html
Asus Arez Strix Radeon RX Vega 64 OC Edition,,8 GB,1590 MHz,62,https://www.epey.com/ekran-karti/asus-arez-strix-radeon-rx-vega-64-oc-edition.html
Asus ROG Strix GeForce RTX 2060 Super,,8 GB,1680 MHz,62,https://www.epey.com/ekran-karti/asus-rog-strix-geforce-rtx-2060-super.html
PowerColor Radeon RX 5700,,8 GB,1750 MHz,62,https://www.epey.com/ekran-karti/powercolor-radeon-rx-5700.html
MSI Radeon RX 5700 Mech OC,,8 GB,1750 MHz,61,https://www.epey.com/ekran-karti/msi-radeon-rx-5700-mech-oc.html
MSI Radeon RX 5700 Gaming X,,8 GB,1750 MHz,61,https://www.epey.com/ekran-karti/msi-radeon-rx-5700-gaming-x.html
Asus ROG Strix GeForce RTX 2070 OC Edition,,8 GB,1845 MHz,61,https://www.epey.com/ekran-karti/asus-rog-strix-geforce-rtx-2070-oc-edition.html
Asus TUF Gaming X3 Radeon RX 5700 OC,,8 GB,1750 MHz,61,https://www.epey.com/ekran-karti/asus-tuf-gaming-x3-radeon-rx-5700-oc.html
Gigabyte AORUS GeForce RTX 2070 Extreme 8G,,8 GB,1815 MHz,61,https://www.epey.com/ekran-karti/gigabyte-aorus-geforce-rtx-2070-extreme-8g.html
ZOTAC Gaming GeForce RTX 2070 AMP Extreme Core,,8 GB,1815 MHz,61,https://www.epey.com/ekran-karti/zotac-gaming-geforce-rtx-2070-amp-extreme-core.html
MSI GeForce RTX 2070 Gaming Z 8G,,8 GB,1830 MHz,61,https://www.epey.com/ekran-karti/msi-geforce-rtx-2070-gaming-z-8g.html
Galax GeForce RTX 2060 Super Gamer (1-Click OC),,8 GB,1695 MHz,61,https://www.epey.com/ekran-karti/galax-geforce-rtx-2060-super-gamer-1-click-oc.html
Galax GeForce RTX 2060 Super EX White (1-Click OC),,8 GB,1710 MHz,61,https://www.epey.com/ekran-karti/galax-geforce-rtx-2060-super-ex-white-1-click-oc.html
Gigabyte Aorus GeForce RTX 2060 Super 8G,,8 GB,1845 MHz,61,https://www.epey.com/ekran-karti/gigabyte-aorus-geforce-rtx-2060-super-8g.html
Evga GeForce RTX 2060 Super XC Ultra,,8 GB,1650 MHz,61,https://www.epey.com/ekran-karti/evga-geforce-rtx-2060-super-xc-ultra.html
Gigabyte AORUS GeForce RTX 2070 8G,,8 GB,1770 MHz,61,https://www.epey.com/ekran-karti/gigabyte-aorus-geforce-rtx-2070-8g.html
Asus ROG Strix GeForce RTX 2060 Super OC,,8 GB,1860 MHz,61,https://www.epey.com/ekran-karti/asus-rog-strix-geforce-rtx-2060-super-oc.html
Inno3D GeForce RTX 2070 Ichill X3 Jekyll,,8 GB,1815 MHz,61,https://www.epey.com/ekran-karti/inno3d-geforce-rtx-2070-ichill-x3-jekyll.html
Asus Dual Radeon RX 5700 Evo OC,,8 GB,1750 MHz,61,https://www.epey.com/ekran-karti/asus-dual-radeon-rx-5700-evo-oc.html
Palit GeForce RTX 2060 Super JS,,8 GB,1830 MHz,61,https://www.epey.com/ekran-karti/palit-geforce-rtx-2060-super-js.html
Evga GeForce RTX 2060 Super SC Ultra Gaming,,8 GB,1680 MHz,61,https://www.epey.com/ekran-karti/evga-geforce-rtx-2060-super-sc-ultra-gaming.html
Gigabyte GeForce RTX 2070 Gaming OC White 8G,,8 GB,1740 MHz,61,https://www.epey.com/ekran-karti/gigabyte-geforce-rtx-2070-gaming-oc-white-8g.html
Gigabyte RTX 2060 Super Gaming OC 8G,,8 GB,1815 MHz,61,https://www.epey.com/ekran-karti/gigabyte-rtx-2060-super-gaming-oc-8g.html
Gigabyte GeForce RTX 2070 Gaming OC 8G,,8 GB,1740 MHz,61,https://www.epey.com/ekran-karti/gigabyte-geforce-rtx-2070-gaming-oc-8g.html
MSI GeForce RTX 2070 Armor 8G OC,,8 GB,1740 MHz,61,https://www.epey.com/ekran-karti/msi-geforce-rtx-2070-armor-8g-oc.html
MSI GeForce RTX 2060 Super Ventus GP OC,,8 GB,1665 MHz,61,https://www.epey.com/ekran-karti/msi-geforce-rtx-2060-super-ventus-gp-oc.html
Sapphire Pulse Radeon RX 5700,,8 GB,1750 MHz,61,https://www.epey.com/ekran-karti/sapphire-pulse-radeon-rx-5700.html
MSI Radeon RX 5700 Evoke OC,,8 GB,1750 MHz,61,https://www.epey.com/ekran-karti/msi-radeon-rx-5700-evoke-oc.html
MSI GeForce RTX 2070 Tri Frozr,,8 GB,1620 MHz,61,https://www.epey.com/ekran-karti/msi-geforce-rtx-2070-tri-frozr.html
Gigabyte Radeon RX 5700 Gaming OC 8G,,8 GB,1750 MHz,61,https://www.epey.com/ekran-karti/gigabyte-radeon-rx-5700-gaming-oc-8g.html
Gigabyte GeForce RTX 2060 Super Windforce 8G,,8 GB,1650 MHz,61,https://www.epey.com/ekran-karti/gigabyte-geforce-rtx-2060-super-windforce-8g.html
ZOTAC Gaming GeForce RTX 2070 AMP,,8 GB,1740 MHz,61,https://www.epey.com/ekran-karti/zotac-gaming-geforce-rtx-2070-amp.html
EVGA GeForce RTX 2070 XC ULTRA Gaming,,8 GB,1725 MHz,61,https://www.epey.com/ekran-karti/evga-geforce-rtx-2070-xc-ultra-gaming.html
EVGA GeForce RTX 2070 XC Gaming,,8 GB,1710 MHz,61,https://www.epey.com/ekran-karti/evga-geforce-rtx-2070-xc-gaming.html
MSI GeForce RTX 2070 Gaming X 8G,,8 GB,1710 MHz,61,https://www.epey.com/ekran-karti/msi-geforce-rtx-2070-gaming-x-8g.html
Gainward Geforce RTX 2060 Super Ghost,,8 GB,1650 MHz,61,https://www.epey.com/ekran-karti/gainward-geforce-rtx-2060-super-ghost.html
MSI Radeon RX 5700 Gaming,,8 GB,1725 MHz,61,https://www.epey.com/ekran-karti/msi-radeon-rx-5700-gaming.html
Asus ROG Strix GeForce RTX 2070 Advanced Edition,,8 GB,1680 MHz,61,https://www.epey.com/ekran-karti/asus-rog-strix-geforce-rtx-2070-advanced-edition.html
Gigabyte Radeon RX Vega 64 Gaming OC 8G,,8 GB,1560 MHz,61,https://www.epey.com/ekran-karti/gigabyte-radeon-rx-vega-64-gaming-oc-8g.html
Asus Dual GeForce RTX 2070 OC Edition,,8 GB,1740 MHz,61,https://www.epey.com/ekran-karti/asus-dual-geforce-rtx-2070-oc-edition.html
Asus Dual GeForce RTX 2060 Super EVO OC,,8 GB,1725 MHz,61,https://www.epey.com/ekran-karti/asus-dual-geforce-rtx-2060-super-evo-oc.html
Galax GeForce RTX 2070 EX (1-Click OC),,8 GB,1665 MHz,61,https://www.epey.com/ekran-karti/galax-geforce-rtx-2070-ex-1-click-oc.html
Asus ROG Strix GeForce RTX 2060 Super Advanced Edition,,8 GB,1710 MHz,61,https://www.epey.com/ekran-karti/asus-rog-strix-geforce-rtx-2060-super-advanced-edition.html
Palit GeForce RTX 2060 Super GP OC,,8 GB,1710 MHz,61,https://www.epey.com/ekran-karti/palit-geforce-rtx-2060-super-gp-oc.html
Gigabyte Radeon RX 5700 8G,,8 GB,1725 MHz,61,https://www.epey.com/ekran-karti/gigabyte-radeon-rx-5700-8g.html
MSI Radeon RX 5700 8G,,8 GB,1725 MHz,61,https://www.epey.com/ekran-karti/msi-radeon-rx-5700-8g.html
Asus Radeon RX 5700,,8 GB,1725 MHz,61,https://www.epey.com/ekran-karti/asus-radeon-rx-5700.html
MSI GeForce RTX 2060 Super Gaming X,,8 GB,1695 MHz,61,https://www.epey.com/ekran-karti/msi-geforce-rtx-2060-super-gaming-x.html
Asus Turbo Geforce RTX 2070 8GB GDDR6,,8 GB,1650 MHz,61,https://www.epey.com/ekran-karti/asus-turbo-geforce-rtx-2070-8gb-gddr6.html
Gigabyte Radeon RX Vega 56 8G,,8 GB,1471 MHz,57,https://www.epey.com/ekran-karti/gigabyte-radeon-rx-vega-56-8g.html
Asus ROG Strix GeForce GTX 1660 Super Gaming OC,,6 GB,1875 MHz,57,https://www.epey.com/ekran-karti/asus-rog-strix-geforce-gtx-1660-super-gaming-oc.html
Asus ROG Strix GeForce GTX 1660 Super Advanced Edition,,6 GB,1845 MHz,57,https://www.epey.com/ekran-karti/asus-rog-strix-geforce-gtx-1660-super-advanced-edition.html
Palit GeForce GTX 1080 GameRock Premium Edition,,8 GB,1885 MHz,57,https://www.epey.com/ekran-karti/palit-geforce-gtx-1080-gamerock-premium-edition.html
Asus Dual GeForce GTX 1660 Super OC Edition 6GB GDDR6 EVO,,6 GB,1860 MHz,57,https://www.epey.com/ekran-karti/asus-dual-geforce-gtx-1660-super-oc-edition-6gb-gddr6-evo.html
Asus ROG Strix GeForce GTX 1660 Super 6GB GDDR6,,6 GB,1815 MHz,57,https://www.epey.com/ekran-karti/asus-rog-strix-geforce-gtx-1660-super-6gb-gddr6.html
MSI GeForce RTX 2060 Gaming 6G,,6 GB,1680 MHz,57,https://www.epey.com/ekran-karti/msi-geforce-rtx-2060-gaming-6g.html
Galax GeForce RTX 2060 Plus EX (1-Click OC),,6 GB,1725 MHz,57,https://www.epey.com/ekran-karti/galax-geforce-rtx-2060-plus-ex-1-click-oc.html
Asus Dual GeForce GTX 1660 Super 6GB Advanced Edition GDDR6 EVO,,6 GB,1830 MHz,57,https://www.epey.com/ekran-karti/asus-dual-geforce-gtx-1660-super-6gb-advanced-edition-gddr6-evo.html
Asus TUF Gaming X3 GeForce GTX 1660 Super Advanced Edition,,6 GB,1830 MHz,57,https://www.epey.com/ekran-karti/asus-tuf-gaming-x3-geforce-gtx-1660-super-advanced-edition.html
Asus ROG Strix GeForce RTX 2060 OC Edition 6GB GDDR6,,6 GB,1860 MHz,57,https://www.epey.com/ekran-karti/asus-rog-strix-geforce-rtx-2060-oc-edition-6gb-gddr6.html
Evga GeForce RTX 2060 KO Ultra Gaming,,6 GB,1755 MHz,57,https://www.epey.com/ekran-karti/evga-geforce-rtx-2060-ko-ultra-gaming.html
Asus Dual GeForce GTX 1660 Super 6GB GDDR6 Evo,,6 GB,1815 MHz,57,https://www.epey.com/ekran-karti/asus-dual-geforce-gtx-1660-super-6gb-gddr6-evo.html
Asus TUF Gaming X3 GeForce GTX 1660 Super,,6 GB,1815 MHz,57,https://www.epey.com/ekran-karti/asus-tuf-gaming-x3-geforce-gtx-1660-super.html
MSI Radeon RX 5600 XT Gaming MX,,6 GB,1620 MHz,57,https://www.epey.com/ekran-karti/msi-radeon-rx-5600-xt-gaming-mx.html
Zotac Gaming GeForce RTX 2060 OC,,6 GB,1710 MHz,57,https://www.epey.com/ekran-karti/zotac-gaming-geforce-rtx-2060-oc.html
Gigabyte Aorus GeForce RTX 2060 Xtreme,,6 GB,1845 MHz,57,https://www.epey.com/ekran-karti/gigabyte-aorus-geforce-rtx-2060-xtreme.html
Asus ROG Strix Radeon RX 5600 XT Top Edition,,6 GB,1770 MHz,57,https://www.epey.com/ekran-karti/asus-rog-strix-radeon-rx-5600-xt-top-edition.html
Asus TUF Gaming X3 Radeon RX 5600 XT OC Evo,,6 GB,1770 MHz,57,https://www.epey.com/ekran-karti/asus-tuf-gaming-x3-radeon-rx-5600-xt-evo-tuf-3-rx5600xt-o6g-evo-gaming.html
Asus TUF Gaming GeForce GTX 1660 Super OC,,6 GB,1845 MHz,57,https://www.epey.com/ekran-karti/asus-tuf-gaming-geforce-gtx-1660-super-oc.html
Gigabyte GeForce RTX 2060 Gaming OC Pro 6G,,6 GB,1830 MHz,57,https://www.epey.com/ekran-karti/gigabyte-geforce-rtx-2060-gaming-oc-pro-6g.html
Gigabyte GeForce RTX 2060 GAMING OC 6G,,6 GB,1830 MHz,57,https://www.epey.com/ekran-karti/gigabyte-geforce-rtx-2060-gaming-oc-6g.html
MSI GeForce RTX 2060 Gaming Z,,6 GB,1830 MHz,57,https://www.epey.com/ekran-karti/msi-geforce-rtx-2060-gaming-z.html
Palit GeForce GTX 1080 Super JetStream,,8 GB,1847 MHz,57,https://www.epey.com/ekran-karti/palit-geforce-gtx-1080-super-jetstream.html
Asus ROG Strix Radeon RX 5600 XT OC,,6 GB,1770 MHz,57,https://www.epey.com/ekran-karti/asus-rog-strix-radeon-rx-5600-xt-oc.html
Zotac Gaming GeForce RTX 2060,,6 GB,1680 MHz,57,https://www.epey.com/ekran-karti/zotac-gaming-geforce-rtx-2060-zt-t20600k-10m.html
Asus TUF Gaming X3 GeForce GTX 1660 Super Zaku II Edition,,6 GB,1830 MHz,57,https://www.epey.com/ekran-karti/asus-tuf-gaming-x3-geforce-gtx-1660-super-zaku-ii-edition.html
Asus Dual Radeon RX 5600 XT EVO,,6 GB,1770 MHz,57,https://www.epey.com/ekran-karti/asus-dual-radeon-rx-5600-xt-evo.html
Asus TUF Gaming X3 Radeon RX 5600 XT Evo,,6 GB,1770 MHz,57,https://www.epey.com/ekran-karti/asus-tuf-gaming-x3-radeon-rx-5600-xt-evo-tuf-3-rx5600xt-t6g-evo-gaming.html
MSI GeForce GTX 1080 Gaming Z 8G,,8 GB,1911 MHz,57,https://www.epey.com/ekran-karti/msi-geforce-gtx-1080-gaming-z-8g.html
Asus TUF Gaming GeForce GTX 1660 Super,,6 GB,1815 MHz,57,https://www.epey.com/ekran-karti/asus-tuf-gaming-geforce-gtx-1660-super.html
Evga GeForce RTX 2060 KO Gaming,,6 GB,1680 MHz,57,https://www.epey.com/ekran-karti/evga-geforce-rtx-2060-ko-gaming.html
Zotac Gaming GeForce RTX 2060 AMP,,6 GB,1800 MHz,57,https://www.epey.com/ekran-karti/zotac-gaming-geforce-rtx2060-amp.html
Palit GeForce RTX 2060 GamingPro OC,,6 GB,1830 MHz,57,https://www.epey.com/ekran-karti/palit-geforce-rtx-2060-gamingpro-oc.html
Asus ROG Strix GeForce RTX 2060 Advanced Edition 6GB GDDR6,,6 GB,1740 MHz,57,https://www.epey.com/ekran-karti/asus-rog-strix-geforce-rtx-2060-advanced-edition-6gb-gddr6.html
