Ürün Adı,Fiyat,Çekirdek,Temel Frekans,Çıkış Yılı,Teknik Puan,Link
AMD Ryzen 7 Pro 5750G,3878.0,8 ,3.8 GHz,2021 ,39.0,https://www.epey.com/islemci/amd-ryzen-7-pro-5750g.html
Intel Core i9-10900KF,5340.9,10 ,3.7 GHz,2020 ,39.0,https://www.epey.com/islemci/intel-core-i9-10900kf.html
Intel Core i9-11900K,6149.0,8 ,3.5 GHz,2021 ,39.0,https://www.epey.com/islemci/intel-core-i9-11900k.html
Intel Core i9-11900KF,5954.22,8 ,3.5 GHz,2021 ,39.0,https://www.epey.com/islemci/intel-core-i9-11900kf.html
Intel Core i9-10900X,7188.94,10 ,3.7 GHz,2019 ,39.0,https://www.epey.com/islemci/intel-core-i9-10900x.html
Intel Core i9-10850KA Avengers Edition,4639.0,10 ,3.6 GHz,2020 ,39.0,https://www.epey.com/islemci/intel-core-i9-10850ka-avengers-edition.html
Intel Core i9-10850K,5591.0,10 ,3.6 GHz,2020 ,39.0,https://www.epey.com/islemci/intel-core-i9-10850k.html
Intel Core i7-11700K,4339.0,8 ,3.6 GHz,2021 ,39.0,https://www.epey.com/islemci/intel-core-i7-11700k.html
AMD Ryzen 5 5600X,3120.0,6 ,3.7 GHz,2020 ,39.0,https://www.epey.com/islemci/amd-ryzen-5-5600x.html
AMD Ryzen 7 Pro 4750G,3265.08,8 ,3.6 GHz,2020 ,38.0,https://www.epey.com/islemci/amd-ryzen-7-pro-4750g.html
Intel Core i7-11700KF,4580.94,8 ,3.6 GHz,2021 ,38.0,https://www.epey.com/islemci/intel-core-i7-11700kf.html
Intel Core i9-11900F,4199.0,8 ,2.5 GHz,2021 ,38.0,https://www.epey.com/islemci/intel-core-i9-11900f.html
AMD Ryzen 5 Pro 3600,2008.71,6 ,3.6 GHz,2019 ,37.0,https://www.epey.com/islemci/amd-ryzen-5-pro-3600.html
AMD A12-9800,,4 ,3.8 GHz,2017 ,26.0,https://www.epey.com/islemci/amd-a12-9800.html
Intel Core i3-9100T,,4 ,3.1 GHz,2019 ,25.0,https://www.epey.com/islemci/intel-core-i3-9100t.html
AMD A10-7870K,,4 ,3.9 GHz,2015 ,25.0,https://www.epey.com/islemci/amd-a10-7870k.html
Intel Core i5-9400T,,6 ,1.8 GHz,2019 ,25.0,https://www.epey.com/islemci/intel-core-i5-9400t.html
AMD A10-9700,,4 ,3.5 GHz,2017 ,25.0,https://www.epey.com/islemci/amd-a10-9700.html
AMD Athlon Pro 300GE,,2 ,3.4 GHz,2019 ,24.0,https://www.epey.com/islemci/amd-athlon-pro-300ge.html
AMD A10-7890K,,4 ,4.1 GHz,2016 ,24.0,https://www.epey.com/islemci/amd-a10-7890k.html
AMD A12-9800E,,4 ,3.1 GHz,2016 ,24.0,https://www.epey.com/islemci/amd-a12-9800e.html
AMD Athlon X4 880K,,4 ,4 GHz,2016 ,24.0,https://www.epey.com/islemci/amd-athlon-x4-880k.html
AMD FX-6100,,6 ,3.3 GHz,2011 ,24.0,https://www.epey.com/islemci/amd-fx-6100.html
AMD A10-9700E,,4 ,3 GHz,2016 ,24.0,https://www.epey.com/islemci/amd-a10-9700e.html
AMD Athlon X4 870K,,4 ,3.9 GHz,2016 ,24.0,https://www.epey.com/islemci/amd-athlon-x4-870k.html
AMD A10-7860K,,4 ,3.6 GHz,2016 ,23.0,https://www.epey.com/islemci/amd-a10-7860k.html
AMD A8-7650K,,4 ,3.3 GHz,2015 ,23.0,https://www.epey.com/islemci/amd-a8-7650k.html
AMD FX-6300,,6 ,3.5 GHz,2012 ,23.0,https://www.epey.com/islemci/amd-fx-6300.html
Intel Core i5-7400T,,4 ,2.4 GHz,2017 ,23.0,https://www.epey.com/islemci/intel-core-i5-7400t.html
AMD A10-7800,,4 ,3.5 GHz,2014 ,23.0,https://www.epey.com/islemci/amd-a10-7800.html
Intel Core i7-2600K,,4 ,3.4 GHz,2011 ,23.0,https://www.epey.com/islemci/intel-core-i7-2600k.html
AMD A6-9500,,2 ,3.5 GHz,2017 ,22.0,https://www.epey.com/islemci/amd-a6-9500.html
Intel Core i5-3550,,4 ,3.3 GHz,2012 ,22.0,https://www.epey.com/islemci/intel-core-i5-3550.html
AMD FX-4300,,4 ,3.8 GHz,2012 ,22.0,https://www.epey.com/islemci/amd-fx-4300.html
AMD Athlon X4 950,,4 ,3.5 GHz,2017 ,22.0,https://www.epey.com/islemci/amd-athlon-x4-950.html
Intel Core i5-4690,,4 ,3.5 GHz,2014 ,22.0,https://www.epey.com/islemci/intel-core-i5-4690.html
Intel Core i3-8350K,,4 ,4 GHz,2017 ,22.0,https://www.epey.com/islemci/intel-core-i3-8350k.html
Intel Core i5-3570S,,4 ,3.1 GHz,2012 ,22.0,https://www.epey.com/islemci/intel-core-i5-3570s.html
Intel Core i3-8300,,4 ,3.7 GHz,2018 ,22.0,https://www.epey.com/islemci/intel-core-i3-8300.html
Intel Core i5-3570,,4 ,3.4 GHz,2012 ,22.0,https://www.epey.com/islemci/intel-core-i5-3570.html
AMD FX-4320,,4 ,4 GHz,2016 ,22.0,https://www.epey.com/islemci/amd-fx-4320.html
AMD Athlon X4 845,,4 ,3.5 GHz,2016 ,22.0,https://www.epey.com/islemci/amd-athlon-x4-845.html
AMD A6-6400K,,2 ,3.9 GHz,2013 ,22.0,https://www.epey.com/islemci/amd-a6-6400k.html
Intel Core i5-6400T,,4 ,2.2 GHz,2015 ,22.0,https://www.epey.com/islemci/intel-core-i5-6400t.html
Intel Celeron G3950,,2 ,3 GHz,2017 ,17.0,https://www.epey.com/islemci/intel-celeron-g3950.html
Intel Celeron G3930TE,,2 ,2.7 GHz,2017 ,17.0,https://www.epey.com/islemci/intel-celeron-g3930te.html
Intel Celeron G3900,,2 ,2.8 GHz,2015 ,16.0,https://www.epey.com/islemci/intel-celeron-g3900.html
Intel Celeron G3930T,,2 ,2.7 GHz,2017 ,16.0,https://www.epey.com/islemci/intel-celeron-g3930t.html
Intel Pentium G4500T,,2 ,3 GHz,2015 ,16.0,https://www.epey.com/islemci/intel-pentium-g4500t.html
Intel Core i3-3250,,2 ,3.5 GHz,2013 ,15.0,https://www.epey.com/islemci/intel-core-i3-3250.html
Intel Pentium G3250,,2 ,3.2 GHz,2014 ,15.0,https://www.epey.com/islemci/intel-pentium-g3250.html
Intel Core i3-3210,,2 ,3.2 GHz,2013 ,14.0,https://www.epey.com/islemci/intel-core-i3-3210.html
Intel Pentium G2140,,2 ,3.3 GHz,2013 ,14.0,https://www.epey.com/islemci/intel-pentium-g2140.html
Intel Core 2 Duo E8600,,2 ,3.33 GHz,2008 ,14.0,https://www.epey.com/islemci/intel-core-2-duo-e8600.html
Intel Core i3-2130,,2 ,3.4 GHz,2013 ,14.0,https://www.epey.com/islemci/intel-core-i3-2130.html
Intel Core i3-550,,2 ,3.2 GHz,2010 ,14.0,https://www.epey.com/islemci/intel-core-i3-550.html
Intel Core 2 Duo E8500,,2 ,3.16 GHz,2008 ,14.0,https://www.epey.com/islemci/intel-core-2-duo-e8500.html
Intel Core 2 Duo E8400,,2 ,3 GHz,2008 ,14.0,https://www.epey.com/islemci/intel-core-2-duo-e8400.html
Intel Celeron G1820T,,2 ,2.4 GHz,2014 ,13.0,https://www.epey.com/islemci/intel-celeron-g1820t.html
Intel Celeron G1630,,2 ,2.8 GHz,2013 ,13.0,https://www.epey.com/islemci/intel-celeron-g1630.html
AMD Athlon II X4 605e,,4 ,2.3 GHz,2009 ,13.0,https://www.epey.com/islemci/amd-athlon-ii-x4-605e.html
Intel Pentium G2020T,,2 ,2.5 GHz,2013 ,13.0,https://www.epey.com/islemci/intel-pentium-g2020t.html
AMD Phenom II X4 955 (95W),,4 ,3.2 GHz,2009 ,13.0,https://www.epey.com/islemci/amd-phenom-ii-x4-955-95w.html
Intel Celeron E3300,,2 ,2.5 GHz,2009 ,10.0,https://www.epey.com/islemci/intel-celeron-e3300.html
AMD A6-9500E,,2 ,3 GHz,2017 ,21.0,https://www.epey.com/islemci/amd-a6-9500e.html
Intel Core i5-2500,,4 ,3.3 GHz,2011 ,21.0,https://www.epey.com/islemci/intel-core-i5-2500.html
Intel Core i5-4590S,,4 ,3 GHz,2014 ,21.0,https://www.epey.com/islemci/intel-core-i5-4590s.html
Intel Core i3-7350K,,2 ,4.2 GHz,2017 ,21.0,https://www.epey.com/islemci/intel-core-i3-7350k.html
Intel Core i5-3330,,4 ,3 GHz,2012 ,21.0,https://www.epey.com/islemci/intel-core-i5-3330.html
Intel Core i5-2500S,,4 ,2.7 GHz,2011 ,20.0,https://www.epey.com/islemci/intel-core-i5-2500s.html
Intel Core i5-2320,,4 ,3 GHz,2013 ,20.0,https://www.epey.com/islemci/intel-core-i5-2320.html
Intel Core i7-960,,4 ,3.2 GHz,2009 ,20.0,https://www.epey.com/islemci/intel-core-i7-960.html
Intel Core i3-7320,,2 ,4.1 GHz,2017 ,20.0,https://www.epey.com/islemci/intel-core-i3-7320.html
Intel Core i3-7300,,2 ,4 GHz,2017 ,20.0,https://www.epey.com/islemci/intel-core-i3-7300.html
Intel Pentium Gold G5620,,2 ,4 GHz,2019 ,20.0,https://www.epey.com/islemci/intel-pentium-gold-g5620.html
Intel Pentium Gold G5600F,,2 ,3.9 GHz,2019 ,19.0,https://www.epey.com/islemci/intel-pentium-gold-g5600f.html
Intel Pentium Gold G5600,,2 ,3.9 GHz,2018 ,19.0,https://www.epey.com/islemci/intel-pentium-gold-g5600.html
AMD Athlon 240GE,,2 ,3.5 GHz,2018 ,19.0,https://www.epey.com/islemci/amd-athlon-240ge.html
Intel Pentium Gold G5420,,2 ,3.8 GHz,2019 ,19.0,https://www.epey.com/islemci/intel-pentium-gold-g5420.html
AMD Athlon 220GE,,2 ,3.4 GHz,2018 ,19.0,https://www.epey.com/islemci/amd-athlon-220ge.html
Intel Pentium Gold G5500,,2 ,3.8 GHz,2018 ,19.0,https://www.epey.com/islemci/intel-pentium-gold-g5500.html
Intel Core i3-6320,,2 ,3.9 GHz,2015 ,19.0,https://www.epey.com/islemci/intel-core-i3-6320.html
AMD A4-5300,,2 ,3.4 GHz,2012 ,19.0,https://www.epey.com/islemci/amd-a4-5300.html
Intel Pentium Gold G5400,,2 ,3.7 GHz,2018 ,19.0,https://www.epey.com/islemci/intel-pentium-gold-g5400.html
AMD Athlon 200GE,,2 ,3.2 GHz,2018 ,19.0,https://www.epey.com/islemci/amd-athlon-200ge.html
Intel Pentium G4600,,2 ,3.6 GHz,2017 ,19.0,https://www.epey.com/islemci/intel-pentium-g4600.html
Intel Pentium G4560,,2 ,3.5 GHz,2017 ,19.0,https://www.epey.com/islemci/intel-pentium-g4560.html
Intel Core i3-6098P,,2 ,3.6 GHz,2015 ,18.0,https://www.epey.com/islemci/intel-core-i3-6098p.html
Intel Core i3-6300,,2 ,3.8 GHz,2015 ,18.0,https://www.epey.com/islemci/intel-core-i3-6300.html
Intel Core i3-6100T,,2 ,3.2 GHz,2015 ,18.0,https://www.epey.com/islemci/intel-core-i3-6100t.html
Intel Pentium G4560T,,2 ,2.9 GHz,2017 ,18.0,https://www.epey.com/islemci/intel-pentium-g4560t.html
Intel Pentium G4500,,2 ,3.5 GHz,2015 ,17.0,https://www.epey.com/islemci/intel-pentium-g4500.html
Intel Celeron G4920,,2 ,3.2 GHz,2018 ,17.0,https://www.epey.com/islemci/intel-celeron-g4920.html
Intel Celeron G4900,,2 ,3.1 GHz,2018 ,17.0,https://www.epey.com/islemci/intel-celeron-g4900-lga1151p.html
Intel Pentium G4520,,2 ,3.6 GHz,2015 ,17.0,https://www.epey.com/islemci/intel-pentium-g4520.html
