Ürün Adı,Fiyat,Çekirdek,Temel Frekans,Çıkış Yılı,Teknik Puan,Link
Intel Core i5-8500T,1788.99,6 ,2.1 GHz,2018 ,26.0,https://www.epey.com/islemci/intel-core-i5-8500t.html
AMD Ryzen 3 1200,799.0,4 ,3.1 GHz,2017 ,26.0,https://www.epey.com/islemci/amd-ryzen-3-1200.html
Intel Core i5-7500,2010.55,4 ,3.4 GHz,2017 ,26.0,https://www.epey.com/islemci/intel-core-i5-7500.html
Intel Core i5-6600,1659.0,4 ,3.3 GHz,2015 ,25.0,https://www.epey.com/islemci/intel-core-i5-6600.html
Intel Core i7-3820,1512.0,4 ,3.6 GHz,2012 ,25.0,https://www.epey.com/islemci/intel-core-i7-3820.html
Intel Core i5-7400,2122.04,4 ,3 GHz,2017 ,24.0,https://www.epey.com/islemci/intel-core-i5-7400.html
Intel Core i7-3770,1309.0,4 ,3.4 GHz,2012 ,24.0,https://www.epey.com/islemci/intel-core-i7-3770.html
Intel Core i5-6500,1759.0,4 ,3.2 GHz,2015 ,24.0,https://www.epey.com/islemci/intel-core-i5-6500.html
AMD A8-9600,767.22,4 ,3.1 GHz,2017 ,23.0,https://www.epey.com/islemci/amd-a8-9600.html
Intel Core i5-6400,1459.0,4 ,2.7 GHz,2015 ,23.0,https://www.epey.com/islemci/intel-core-i5-6400.html
AMD A10-7700K,1410.0,4 ,3.4 GHz,2014 ,23.0,https://www.epey.com/islemci/amd-a10-7700k.html
AMD Ryzen 5 3600XT,3379.3,6 ,3.8 GHz,2020 ,37.0,https://www.epey.com/islemci/amd-ryzen-5-3600xt.html
AMD Ryzen Threadripper 1920X,4706.3,12 ,3.5 GHz,2017 ,37.0,https://www.epey.com/islemci/amd-ryzen-threadripper-1920x.html
AMD Ryzen 5 5600G,2659.05,6 ,3.9 GHz,2021 ,37.0,https://www.epey.com/islemci/amd-ryzen-5600g.html
AMD Ryzen 5 3600X,2369.99,6 ,3.8 GHz,2019 ,37.0,https://www.epey.com/islemci/amd-ryzen-5-3600x.html
Intel Core i9-10900,4139.99,10 ,2.8 GHz,2020 ,37.0,https://www.epey.com/islemci/intel-core-i9-10900.html
Intel Core i9-10900F,4422.82,10 ,2.8 GHz,2020 ,37.0,https://www.epey.com/islemci/intel-core-i9-10900f.html
Intel Core i7-10700KF,3595.4,8 ,3.8 GHz,2020 ,37.0,https://www.epey.com/islemci/intel-core-i7-10700kf.html
Intel Core i7-10700KA Avengers Edition,3600.63,8 ,3.8 GHz,2020 ,37.0,https://www.epey.com/islemci/intel-core-i7-10700ka-avengers-edition.html
AMD Ryzen 5 3600,2099.0,6 ,3.6 GHz,2019 ,36.0,https://www.epey.com/islemci/amd-ryzen-5-3600.html
Intel Core i9-9900KF,3839.99,8 ,3.6 GHz,2019 ,36.0,https://www.epey.com/islemci/intel-core-i9-9900kf.html
AMD Ryzen 5 Pro 5650G,2679.0,6 ,3.9 GHz,2021 ,36.0,https://www.epey.com/islemci/amd-ryzen-5-pro-5650g.html
Intel Core i9-9900K,4609.0,8 ,3.6 GHz,2018 ,36.0,https://www.epey.com/islemci/intel-core-i9-9900k.html
Intel Core i9-11900,4511.04,8 ,2.5 GHz,2021 ,36.0,https://www.epey.com/islemci/intel-core-i9-11900.html
AMD Ryzen 7 Pro 4750GE,3851.62,8 ,3.1 GHz,2020 ,36.0,https://www.epey.com/islemci/amd-ryzen-7-pro-4750ge.html
Intel Core i9-9900,4347.14,8 ,3.6 GHz,2018 ,36.0,https://www.epey.com/islemci/intel-core-i9-9900.html
Intel Core i5-11600KF,3132.0,6 ,3.9 GHz,2021 ,36.0,https://www.epey.com/islemci/intel-core-i5-11600kf.html
Intel Core i5-11600K,2877.12,6 ,3.9 GHz,2021 ,36.0,https://www.epey.com/islemci/intel-core-i5-11600k.html
AMD Ryzen 5 Pro 5650GE,2679.0,6 ,3.4 GHz,2021 ,35.0,https://www.epey.com/islemci/amd-ryzen-5-pro-5650ge.html
Intel Core i7-11700F,3579.0,8 ,2.5 GHz,2021 ,35.0,https://www.epey.com/islemci/intel-core-i7-11700f.html
AMD Ryzen 7 2700X,3424.78,8 ,3.7 GHz,2018 ,35.0,https://www.epey.com/islemci/amd-ryzen-7-2700x.html
Intel Core i7-11700,3617.78,8 ,2.5 GHz,2021 ,35.0,https://www.epey.com/islemci/intel-core-i7-11700.html
AMD Ryzen 5 3500X,1789.94,6 ,3.6 GHz,2019 ,35.0,https://www.epey.com/islemci/amd-ryzen-5-3500x.html
AMD Ryzen 7 2700,1914.83,8 ,3.2 GHz,2018 ,34.0,https://www.epey.com/islemci/amd-ryzen-7-2700.html
Intel Core i7-10700,3769.99,8 ,2.9 GHz,2020 ,34.0,https://www.epey.com/islemci/intel-core-i7-10700.html
Intel Core i7-10700F,3404.7,8 ,2.9 GHz,2020 ,34.0,https://www.epey.com/islemci/intel-core-i7-10700f.html
AMD Ryzen Threadripper 1900X,1799.0,8 ,3.8 GHz,2017 ,34.0,https://www.epey.com/islemci/amd-ryzen-threadripper-1900x.html
Intel Core i7-9700KF,3419.0,8 ,3.6 GHz,2019 ,33.0,https://www.epey.com/islemci/intel-core-i7-9700kf.html
