Ürün Adı,Fiyat,Kategori,Silindir Hacmi,Beygir Gücü (bg),Teknik Puan,Link
Derbi ETX 150,,Enduro,149 cc,12.0 ,17.0,https://www.epey.com/motosiklet/derbi-etx-150.html
Bisan OLYMPOS 150cc,,Scooter,149.6 cc,8.5 ,17.0,https://www.epey.com/motosiklet/bisan-olympos-150cc.html
Bisan MİSİS 100,,Scooter,99 cc,6.8 ,17.0,https://www.epey.com/motosiklet/bisan-misis-100.html
Suzuki GSX-S125,,Naked,124 cc,-,17.0,https://www.epey.com/motosiklet/suzuki-gsx-s125.html
Asya SkyMax,,-,124 cc,6.7 ,17.0,https://www.epey.com/motosiklet/asya-skymax.html
Hero Pleasure,,Scooter,102 cc,6.9 ,17.0,https://www.epey.com/motosiklet/hero-pleasure.html
Lifan SHOWING 125,,Cub,120 cc,7.7 ,17.0,https://www.epey.com/motosiklet/lifan-showing-125.html
Mondial KD-125 F,,Touring,124 cc,-,17.0,https://www.epey.com/motosiklet/mondial-kd-125-f.html
Yamaha Tricity,,Scooter,124.8 cc,-,17.0,https://www.epey.com/motosiklet/yamaha-tricity.html
Yuki UYL-Enzo,,Scooter,50 cc,-,11.0,https://www.epey.com/motosiklet/yuki-uyl-enzo.html
Kuba ÇITA 100-F,,Klasik,99 cc,7.0 ,11.0,https://www.epey.com/motosiklet/kuba-cita-100-f.html
Mondial Eagle,,Scooter,49.6 cc,-,11.0,https://www.epey.com/motosiklet/mondial-eagle.html
Salcano ASTRO 100,,Scooter,97 cc,7.0 ,11.0,https://www.epey.com/motosiklet/salcano-astro-100.html
Kral KR-100-B SEYYAH,,Cub,97 cc,6 ,11.0,https://www.epey.com/motosiklet/kral-kr-100-b-seyyah.html
Kuba HASAT 100,,Scooter,99 cc,6.2 ,10.0,https://www.epey.com/motosiklet/kuba-hasat-100.html
Kuba RAZORE 100,,Touring,99 cc,6.1 ,10.0,https://www.epey.com/motosiklet/kuba-razore-100.html
Arora AR 100-8A (Tel Jant),,Touring,97 cc,7.50 ,10.0,https://www.epey.com/motosiklet/arora-ar-100-8a-modifiye-renkli-nikelaj.html
