Ürün Adı,Fiyat,Etkin Piksel,Video Çözünürlüğü,Çıkış Yılı,Teknik Puan,Link
Canon EOS 800D 70-300mm,,24 MP,Full HD,2017 ,65,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-800d-70-300mm.html
Canon EOS 800D 24-70mm,,24 MP,Full HD,2017 ,65,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-800d-24-70mm.html
Canon EOS 800D 11-16mm,,24 MP,Full HD,2017 ,65,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-800d-11-16mm.html
Nikon D5600,,24 MP,Full HD,2017 ,65,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5600.html
Fujifilm X-T2 18-55mm,,24 MP,Ultra HD,2016 ,65,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t2-18-55mm.html
Fujifilm X-T2 16-50mm,,24 MP,Ultra HD,2016 ,65,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t2-16-50mm.html
Canon EOS 6D 24-70mm,,20 MP,Full HD,2012 ,65,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-6d-24-70mm.html
Canon EOS 80D 18-200mm,,24 MP,Full HD,2016 ,65,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-80d-18-200mm.html
Canon EOS 80D 24-105mm,,24 MP,Full HD,2016 ,65,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-80d-24-105mm-f4-l-is-usm.html
Canon EOS 80D 70-300mm,,24 MP,Full HD,2016 ,65,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-80d-70-300mm.html
Canon EOS 80D 11-16mm,,24 MP,Full HD,2016 ,65,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-80d-11-16mm.html
Canon EOS 7D Mark II 18-200mm,,20 MP,Full HD,2014 ,65,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-7d-mark-ii-18-200mm.html
Nikon D600,,24 MP,Full HD,2012 ,65,https://www.epey.com/dslr-fotograf-makinesi/nikon-d600.html
Canon EOS 7D Mark II 24-105mm,,20 MP,Full HD,2014 ,65,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-7d-mark-ii-24-105mm.html
Canon EOS 7D Mark II 55-250mm,,20 MP,Full HD,2014 ,65,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-7d-mark-ii-55-250mm.html
Canon EOS 7D Mark II 70-300mm,,20 MP,Full HD,2014 ,65,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-7d-mark-ii-70-300mm.html
Canon EOS 7D Mark II 18-55mm,,20 MP,Full HD,2014 ,65,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-7d-mark-ii-18-55mm.html
Canon EOS 7D Mark II 11-16mm,,20 MP,Full HD,2014 ,65,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-7d-mark-ii-11-16mm.html
Fujifilm X-T2 18-135mm,,24 MP,Ultra HD,2016 ,65,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t2-18-135mm.html
Nikon D610 24-70mm,,24 MP,Full HD,2014 ,65,https://www.epey.com/dslr-fotograf-makinesi/nikon-d610-24-70mm.html
Fujifilm X-E3 16-50mm,,24 MP,Ultra HD,2017 ,65,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-e3-16-50mm.html
Nikon D610 16-28mm,,24 MP,Full HD,2014 ,65,https://www.epey.com/dslr-fotograf-makinesi/nikon-d610-16-28mm.html
Fujifilm X-E3 15-45mm,,24 MP,Ultra HD,2017 ,65,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-e3-15-45mm.html
Fujifilm X-E3 18-55mm,,24 MP,Ultra HD,2017 ,65,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-e3-18-55mm.html
Canon EOS 7D Mark II 50mm,,20 MP,Full HD,2014 ,65,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-7d-mark-ii-50mm.html
Sony HX95,,18 MP,Ultra HD,2018 ,65,https://www.epey.com/kompakt-fotograf-makinesi/sony-hx95.html
Canon EOS 800D,,24 MP,Full HD,2017 ,65,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-800d.html
Nikon D610 50mm,,24 MP,Full HD,2014 ,65,https://www.epey.com/dslr-fotograf-makinesi/nikon-d610-50mm.html
Fujifilm X-T2,,24 MP,Ultra HD,2016 ,64,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t2.html
Nikon D610 24-85mm,,24 MP,Full HD,2014 ,64,https://www.epey.com/dslr-fotograf-makinesi/nikon-d610-24-85mm.html
Fujifilm X-E3 23mm,,24 MP,Ultra HD,2017 ,64,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-e3-23mm.html
Fujifilm X-E3,,24 MP,Ultra HD,2017 ,64,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-e3.html
Fujifilm X-T20 15-45mm,,24 MP,Ultra HD,2017 ,64,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t20-15-45mm.html
Fujifilm X-T20 16-50mm,,24 MP,Ultra HD,2017 ,64,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t20-16-50mm.html
Olympus PEN E-PL10 14-42mm,,16 MP,Ultra HD,2020 ,64,https://www.epey.com/aynasiz-fotograf-makinesi/olympus-pen-e-pl10-14-42mm.html
Olympus PEN E-PL9,,16 MP,Ultra HD,2018 ,64,https://www.epey.com/aynasiz-fotograf-makinesi/olympus-pen-e-pl9.html
Sony DSC-RX100 IV,,20 MP,Ultra HD,2015 ,64,https://www.epey.com/kompakt-fotograf-makinesi/sony-dsc-rx100-iv.html
Sony a6400,10799.0,24 MP,Ultra HD,2019 ,78,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a6400.html
Canon EOS 90D,12314.0,32 MP,Ultra HD,2019 ,78,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-90d.html
Fujifilm X-T4 16-80mm,18999.0,26 MP,4K,2020 ,78,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t4-16-80mm.html
Fujifilm X-T4 18-55mm,17999.0,26 MP,4K,2020 ,78,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t4-18-55mm.html
Sony A7R II,18644.64,42 MP,Ultra HD,2015 ,78,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a7r-ii.html
Pentax K-1 Mark II,23939.88,36 MP,Full HD,2018 ,78,https://www.epey.com/dslr-fotograf-makinesi/pentax-k-1-mark-ii.html
Fujifilm GFX 50R 50mm,28995.0,51 MP,Full HD,2018 ,78,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-gfx-50r-50mm.html
Fujifilm X-T4,14899.0,26 MP,4K,2020 ,77,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t4.html
Fujifilm GFX 50R,24995.0,51 MP,Full HD,2018 ,77,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-gfx-50r.html
Sony a6100 16-50mm,10555.99,24 MP,Ultra HD,2019 ,77,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a6100-16-50mm.html
Panasonic Lumix G9,23279.03,20 MP,Ultra HD,2017 ,77,https://www.epey.com/aynasiz-fotograf-makinesi/panasonic-lumix-g9.html
Nikon D7500 18-300mm,20184.24,20 MP,Ultra HD,2017 ,77,https://www.epey.com/dslr-fotograf-makinesi/nikon-d7500-18-300mm.html
Olympus OM-D E-M1X,28990.0,20 MP,4K,2019 ,77,https://www.epey.com/aynasiz-fotograf-makinesi/olympus-om-d-e-m1x.html
Nikon D7500 18-140mm,12149.0,20 MP,Ultra HD,2017 ,76,https://www.epey.com/dslr-fotograf-makinesi/nikon-d7500-18-140mm.html
Fujifilm X-T3 16-55mm,20999.0,26 MP,4K,2018 ,76,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t3-16-55mm.html
Fujifilm X-T3 18-55mm,13799.0,26 MP,4K,2018 ,76,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t3-18-55mm.html
Fujifilm X-T3 16-80mm,15249.0,26 MP,4K,2018 ,76,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t3-16-80mm.html
Nikon D7500,9746.04,20 MP,Ultra HD,2017 ,76,https://www.epey.com/dslr-fotograf-makinesi/nikon-d7500.html
Fujifilm X-T30 16-80mm,11499.0,26 MP,4K,2019 ,76,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t30-16-80mm.html
Fujifilm X-T30 15-45mm,8299.0,26 MP,4K,2019 ,76,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t30-15-45mm.html
Fujifilm X-T30 18-55mm,10799.0,26 MP,4K,2019 ,76,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t30-18-55mm.html
Panasonic Lumix GH5s,19399.03,10 MP,4K,2018 ,76,https://www.epey.com/aynasiz-fotograf-makinesi/panasonic-gh5s.html
Olympus OM-D E-M1 Mark III,21338.0,20 MP,4K,2020 ,75,https://www.epey.com/aynasiz-fotograf-makinesi/olympus-om-d-e-m1-mark-iii.html
Fujifilm X-T3,10999.0,26 MP,4K,2018 ,75,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t3.html
Fujifilm X-S10 16-80mm,13499.0,26 MP,-,2020 ,75,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-s10-16-80mm.html
Fujifilm X-S10 18-55mm,12799.0,26 MP,-,2020 ,75,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-s10-18-55mm.html
Fujifilm X-T30,7399.0,26 MP,4K,2019 ,75,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t30.html
Canon EOS 850D 18-135mm,11799.0,24 MP,Ultra HD,2020 ,75,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-850d-18-135mm.html
Canon EOS 850D 18-55mm,9249.0,24 MP,Ultra HD,2020 ,75,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-850d-plus-18-55-mm.html
Nikon Z50 50-250mm,12564.0,21 MP,Ultra HD,2019 ,74,https://www.epey.com/aynasiz-fotograf-makinesi/nikon-z50-50-250mm.html
Fujifilm X-S10,9299.0,26 MP,-,2020 ,74,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-s10.html
Nikon Z50 16-50mm,9990.03,21 MP,Ultra HD,2019 ,74,https://www.epey.com/aynasiz-fotograf-makinesi/nikon-z50-16-50mm.html
Canon EOS M50 18-150mm,9588.0,24 MP,Ultra HD,2018 ,74,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-m50-18-150mm.html
Canon EOS M50 15-45mm,5567.04,24 MP,Ultra HD,2018 ,74,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-m50-15-45mm.html
Canon EOS M50 Mark II 15-45mm,7790.0,24 MP,Ultra HD,2020 ,74,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-m50-mark-ii-15-45mm.html
Canon EOS 250D 18-55mm,5976.99,24 MP,Ultra HD,2019 ,74,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-250d-18-55mm.html
Nikon Z50,6929.04,21 MP,Ultra HD,2019 ,73,https://www.epey.com/aynasiz-fotograf-makinesi/nikon-z50.html
Fujifilm X100V,11999.0,26 MP,4K,2020 ,73,https://www.epey.com/kompakt-fotograf-makinesi/fujifilm-x100v.html
Canon PowerShot G5 X Mark II,12349.0,20 MP,Ultra HD,2019 ,73,https://www.epey.com/kompakt-fotograf-makinesi/canon-powershot-g5-x-mark-ii.html
Fujifilm X-Pro3,15999.0,26 MP,4K,2019 ,72,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-pro3.html
Canon EOS M200 15-45mm,4992.02,24 MP,Ultra HD,2019 ,72,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-m200-15-45mm.html
Canon EOS M6 Mark II 15-45mm,10399.0,32 MP,Ultra HD,2019 ,71,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-m6-mark-ii-15-45mm.html
Olympus OM-D E-M5 Mark III,12478.68,20 MP,4K,2019 ,71,https://www.epey.com/aynasiz-fotograf-makinesi/olympus-om-d-e-m5-mark-iii.html
Sony A7S II,19331.13,12 MP,Full HD,2016 ,71,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a7s-ii.html
Sony ZV-E10 16-50mm,8886.83,24 MP,Ultra HD,2021 ,71,https://www.epey.com/aynasiz-fotograf-makinesi/sony-zv-e10-16-50mm.html
Fujifilm X-E4 15-45mm,8699.0,26 MP,-,2021 ,70,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-e4-15-45mm.html
Fujifilm X-E4 16-80mm,11999.0,26 MP,-,2021 ,70,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-e4-16-80mm.html
Fujifilm X-E4 18-55mm,10749.0,26 MP,-,2021 ,70,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-e4-18-55mm.html
Sony DSC-RX100 VI,11080.16,20 MP,Ultra HD,2018 ,70,https://www.epey.com/kompakt-fotograf-makinesi/sony-dsc-rx100-vi.html
Canon PowerShot G7 X Mark III,8371.08,20 MP,Ultra HD,2019 ,70,https://www.epey.com/kompakt-fotograf-makinesi/canon-powershot-g7-x-mark-iii.html
Panasonic LUMIX FZ 1000 II,10330.49,20 MP,Ultra HD,2019 ,61,https://www.epey.com/kompakt-fotograf-makinesi/panasonic-lumix-fz-1000-ii.html
Fujifilm X-T200 15-45mm,6899.0,24 MP,Ultra HD,2020 ,60,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t200-15-45mm.html
Fujifilm X-T200 18-55mm,8499.0,24 MP,Ultra HD,2020 ,60,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t200-18-55mm.html
Sony A6000 55-210mm,8359.05,24 MP,Full HD,2014 ,60,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a6000-55-210mm.html
Canon PowerShot G1 X Mark II,5999.0,12 MP,Full HD,2014 ,60,https://www.epey.com/kompakt-fotograf-makinesi/canon-powershot-g1-x-mark-ii.html
Nikon D5500 18-55mm,6272.0,24 MP,Full HD,2015 ,60,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5500-18-55mm.html
Fujifilm X-T200,5899.0,24 MP,Ultra HD,2020 ,60,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t200.html
Olympus OM-D E-M5 Mark II 14-150mm,8729.03,16 MP,Full HD,2015 ,60,https://www.epey.com/aynasiz-fotograf-makinesi/olympus-om-d-e-m5-mark-ii-14-150mm.html
Canon EOS M6 15-45mm,8083.06,24 MP,Full HD,2017 ,60,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-m6-15-45mm.html
Sony A6000 16-50mm,6069.99,24 MP,Full HD,2014 ,60,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a6000-16-50mm.html
Panasonic Lumix TZ-90,4493.69,20 MP,Ultra HD,2017 ,59,https://www.epey.com/kompakt-fotograf-makinesi/panasonic-lumix-tz-90.html
Olympus OM-D E-M5 Mark II,5819.03,16 MP,Full HD,2015 ,59,https://www.epey.com/aynasiz-fotograf-makinesi/olympus-om-d-e-m5-mark-ii.html
Panasonic Lumix FZ82,4138.92,18 MP,-,2017 ,58,https://www.epey.com/kompakt-fotograf-makinesi/panasonic-lumix-fz82.html
Olympus Tough TG-6,7488.0,12 MP,Ultra HD,2019 ,58,https://www.epey.com/kompakt-fotograf-makinesi/olympus-tough-tg-6.html
Nikon D3500 18-140mm,7109.52,24 MP,Full HD,2018 ,58,https://www.epey.com/dslr-fotograf-makinesi/nikon-d3500-18-140mm.html
Nikon D3500 70-300mm,7517.18,24 MP,Full HD,2018 ,58,https://www.epey.com/dslr-fotograf-makinesi/nikon-d3500-70-300mm.html
Nikon D3500 18-55mm,4459.36,24 MP,Full HD,2018 ,58,https://www.epey.com/dslr-fotograf-makinesi/nikon-d3500-18-55mm.html
Canon PowerShot G7 X Mark II,6995.0,20 MP,Full HD,2016 ,58,https://www.epey.com/kompakt-fotograf-makinesi/canon-powershot-g7-x-mark-ii.html
Canon EOS 760D,5992.0,24 MP,Full HD,2015 ,58,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-760d.html
Nikon D5300 18-55mm,5075.06,24 MP,Full HD,2014 ,58,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5300-18-55mm.html
Sony DSC-RX100 III,5511.46,20 MP,Full HD,2014 ,58,https://www.epey.com/kompakt-fotograf-makinesi/sony-dsc-rx100-iii.html
Nikon D3500,4511.06,24 MP,Full HD,2018 ,57,https://www.epey.com/dslr-fotograf-makinesi/nikon-d3500.html
Canon EOS 650D 18-135mm,5538.0,18 MP,Full HD,2012 ,57,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-650d-18-135mm.html
Canon EOS 650D 18-55mm,3938.0,18 MP,Full HD,2012 ,57,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-650d-18-55mm.html
Pentax K-70 18-135mm,11844.84,24 MP,-,2016 ,57,https://www.epey.com/dslr-fotograf-makinesi/pentax-k-70-18-135mm.html
Canon EOS 70D 18-135mm,8601.0,20 MP,Full HD,2013 ,56,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-70d-18-135mm.html
Canon EOS 70D 18-55mm,7520.0,20 MP,Full HD,2013 ,56,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-70d-18-55mm.html
Sony DSC-HX400V,5296.9,20 MP,Full HD,2014 ,56,https://www.epey.com/kompakt-fotograf-makinesi/sony-dsc-hx400v.html
Canon EOS 70D,6935.0,20 MP,Full HD,2013 ,56,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-70d.html
Nikon D5100 18-105mm,4638.0,16 MP,Full HD,2011 ,56,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5100-18-105mm.html
Nikon D5100 18-55mm,3264.0,16 MP,Full HD,2011 ,56,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5100-18-55mm.html
Canon PowerShot G9 X Mark II,5883.02,20 MP,Full HD,2017 ,56,https://www.epey.com/kompakt-fotograf-makinesi/canon-powershot-g9-x-mark-ii.html
Olympus OM-D E-M10 Mark II 12-50mm,6977.04,16 MP,Full HD,2015 ,56,https://www.epey.com/aynasiz-fotograf-makinesi/olympus-om-d-e-m10-mark-ii-12-50mm.html
Panasonic Lumix LX15,5632.9,20 MP,Ultra HD,2016 ,55,https://www.epey.com/kompakt-fotograf-makinesi/panasonic-lumix-lx15.html
Canon EOS 100D 18-55mm,3571.06,18 MP,Full HD,2013 ,55,https://www.epey.com/dslr-fotograf-makinesi/canon-100d-18-55mm.html
Panasonic Lumix TZ200,8642.7,20 MP,-,-,55,https://www.epey.com/kompakt-fotograf-makinesi/panasonic-lumix-tz200.html
Canon EOS 2000D 75-300mm,7263.36,24 MP,Full HD,2018 ,54,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-2000d-75-300mm.html
Canon EOS 2000D 18-55mm,4271.8,24 MP,Full HD,2018 ,54,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-2000d-18-55mm.html
Canon EOS 700D 18-135mm,5875.0,18 MP,Full HD,2013 ,54,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-700d-18-135mm.html
Canon EOS 700D 18-55mm,4229.06,18 MP,Full HD,2013 ,54,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-700d-18-55mm.html
Nikon D3400 18-55mm,3994.06,24 MP,Full HD,2016 ,54,https://www.epey.com/dslr-fotograf-makinesi/nikon-d3400-18-55mm.html
Canon EOS 700D,4186.0,18 MP,Full HD,2013 ,54,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-700d.html
Nikon D3400,3888.0,24 MP,Full HD,2016 ,54,https://www.epey.com/dslr-fotograf-makinesi/nikon-d3400.html
Nikon D3200 18-105mm,4605.06,24 MP,Full HD,2012 ,53,https://www.epey.com/dslr-fotograf-makinesi/nikon-d3200-18-105mm.html
Nikon D7000 18-105mm,7426.0,16 MP,Full HD,2010 ,53,https://www.epey.com/dslr-fotograf-makinesi/nikon-d7000-18-105mm.html
Canon EOS 4000D 18-55mm,3787.99,18 MP,Full HD,2018 ,53,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-4000d-18-55mm.html
Canon EOS 1300D 18-55mm,3489.0,18 MP,Full HD,2016 ,53,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-1300d-18-55mm.html
Nikon D3200 18-55mm,3244.0,24 MP,Full HD,2012 ,52,https://www.epey.com/dslr-fotograf-makinesi/nikon-d3200-18-55mm.html
Nikon D5200,3947.06,24 MP,Full HD,2013 ,52,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5200.html
Nikon D5200 18-105mm,5170.0,24 MP,Full HD,2013 ,52,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5200-18-105mm.html
Canon EOS R5,40319.04,45 MP,8K UHD,2020 ,98,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-r5.html
Canon EOS-1D X Mark III,73037.06,20 MP,4K,2020 ,96,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-1d-x-mark-iii.html
Fujifilm GFX100 50mm,88995.0,102 MP,4K,2019 ,95,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-gfx100-50mm.html
Fujifilm GFX100,84995.0,102 MP,4K,2019 ,94,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-gfx100.html
Fujifilm GFX 100S 50mm,58995.0,102 MP,4K,2021 ,94,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-gfx-100s-50mm.html
Fujifilm GFX 100S,54995.0,102 MP,4K,2021 ,93,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-gfx-100s.html
Sony a7R IV 24-70mm,55444.0,61 MP,Ultra HD,2019 ,93,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a7r-iv-24-70mm.html
Nikon Z7 II 24-70mm,44600.0,45 MP,Ultra HD,2020 ,92,https://www.epey.com/aynasiz-fotograf-makinesi/nikon-z7-ii-24-70mm.html
Sony a7R IV,32303.0,61 MP,Ultra HD,2019 ,92,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a7r-iv.html
Nikon D6,79900.0,20 MP,Ultra HD,2019 ,92,https://www.epey.com/dslr-fotograf-makinesi/nikon-d6.html
Panasonic Lumix S1H,52368.84,24 MP,6K,2019 ,91,https://www.epey.com/aynasiz-fotograf-makinesi/panasonic-lumix-s1h.html
Nikon Z6 II 24-70mm,25704.0,24 MP,Ultra HD,2020 ,91,https://www.epey.com/aynasiz-fotograf-makinesi/nikon-z6-ii-24-70mm.html
Sony A7R III,25941.0,42 MP,Ultra HD,2017 ,90,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a7r-iii.html
Nikon Z6 II,25219.03,24 MP,Ultra HD,2020 ,90,https://www.epey.com/aynasiz-fotograf-makinesi/nikon-z6-ii.html
Canon EOS R6 24-105mm,28434.0,20 MP,Ultra HD,2020 ,90,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-r6-24-105mm.html
Sony Alpha a9 II (Sony a9 II),27499.0,24 MP,Ultra HD,2020 ,89,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a9-ii.html
Canon EOS-1D X Mark II,55459.06,20 MP,4K,2016 ,89,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-1d-x-mark-ii.html
Canon EOS R6,24959.04,20 MP,Ultra HD,2020 ,89,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-r6.html
Sony Alpha 7C (Sony A7C) 28-60mm,26443.0,24 MP,Ultra HD,2020 ,88,https://www.epey.com/aynasiz-fotograf-makinesi/sony-alpha-7c-sony-a7c-28-60mm.html
Nikon D780 24-120mm,30950.76,24 MP,Ultra HD,2020 ,88,https://www.epey.com/dslr-fotograf-makinesi/nikon-d780-24-120mm.html
Nikon Z 7 24-70mm,31912.03,45 MP,Ultra HD,2018 ,87,https://www.epey.com/aynasiz-fotograf-makinesi/nikon-z-7-24-70mm.html
Panasonic LUMIX S1M,40940.0,24 MP,Ultra HD,2019 ,87,https://www.epey.com/aynasiz-fotograf-makinesi/panasonic-lumix-s1m.html
Nikon D850 24-120mm,38837.79,45 MP,Ultra HD,2017 ,87,https://www.epey.com/dslr-fotograf-makinesi/nikon-d850-24-120mm.html
Sony A7S III,46444.0,12 MP,Ultra HD,2020 ,87,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a7s-iii.html
Sony Alpha 7C (Sony A7C),20999.0,24 MP,Ultra HD,2020 ,87,https://www.epey.com/aynasiz-fotograf-makinesi/sony-alpha-7c-sony-a7c.html
Canon EOS R 24-105mm,17279.04,30 MP,Ultra HD,2018 ,87,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-r-24-105mm.html
Nikon Z 7,30360.14,45 MP,Ultra HD,2018 ,87,https://www.epey.com/aynasiz-fotograf-makinesi/nikon-z-7.html
Nikon Z6 14-30mm,31500.0,24 MP,Ultra HD,2018 ,87,https://www.epey.com/aynasiz-fotograf-makinesi/nikon-z6-14-30mm.html
Nikon Z 6 24-70mm,22349.06,24 MP,Ultra HD,2018 ,87,https://www.epey.com/aynasiz-fotograf-makinesi/nikon-z-6-24-70mm.html
Nikon D850,29944.0,45 MP,Ultra HD,2017 ,86,https://www.epey.com/dslr-fotograf-makinesi/nikon-d850.html
Canon EOS R,16544.99,30 MP,Ultra HD,2018 ,86,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-r.html
Sony Alpha a9 (Sony a9),27150.3,24 MP,Ultra HD,2017 ,86,https://www.epey.com/aynasiz-fotograf-makinesi/sony-alpha-a9.html
Sony A7 III 24-105mm,40965.0,24 MP,Ultra HD,2018 ,85,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a7-iii-24-105mm.html
Sony A7 III 24-70mm,47443.99,24 MP,Ultra HD,2018 ,85,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a7-iii-24-70mm.html
Sony A7 III 28-70mm,26599.0,24 MP,Ultra HD,2018 ,85,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a7-iii-28-70mm.html
Canon EOS 5D Mark IV 24-105mm,32445.0,30 MP,4K,2016 ,85,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-5d-mark-iv-24-105mm.html
Sony A7 III,18914.03,24 MP,Ultra HD,2018 ,84,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a7-iii.html
Canon EOS 5D Mark IV,23919.08,30 MP,4K,2016 ,84,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-5d-mark-iv.html
Canon EOS RP 24-240mm,19999.0,26 MP,Ultra HD,2019 ,84,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-rp-24-240mm.html
Canon EOS RP 24-105mm,13205.0,26 MP,Ultra HD,2019 ,84,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-rp-24-105mm.html
Canon EOS RP,10911.99,26 MP,Ultra HD,2019 ,83,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-rp.html
Nikon Z5 24-50mm,15044.04,24 MP,Ultra HD,2020 ,83,https://www.epey.com/aynasiz-fotograf-makinesi/nikon-z5-24-50mm.html
Sony a6600 18-135mm,20499.0,24 MP,Ultra HD,2019 ,82,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a6600-18-135mm.html
Canon EOS 6D Mark II 24-105mm,18047.06,26 MP,Full HD,2017 ,82,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-6d-mark-ii-24-105mm.html
Sony a6600,14259.0,24 MP,Ultra HD,2019 ,81,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a6600.html
