Ürün Adı,Fiyat,Etkin Piksel,Video Çözünürlüğü,Çıkış Yılı,Teknik Puan,Link
Polaroid OneStep+ (OneStep Plus),,-,-,-,9,https://www.epey.com/sipsak-fotograf-makinesi/polaroid-onestep-plus-onestep-plus.html
Fujifilm X-T1 18-55mm,,16 MP,Full HD,2014 ,52,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t1-18-55mm.html
Nikon D5200 18-140mm,,24 MP,Full HD,2013 ,52,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5200-18-140mm.html
Nikon D3300 18-140mm,,24 MP,Full HD,2014 ,52,https://www.epey.com/dslr-fotograf-makinesi/nikon-d3300-18-140mm.html
Nikon D3300 18-105mm,,24 MP,Full HD,2014 ,52,https://www.epey.com/dslr-fotograf-makinesi/nikon-d3300-18-105mm.html
Canon EOS 1300D,,18 MP,Full HD,2016 ,52,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-1300d.html
Sony DSC-HX350,,20 MP,Full HD,2016 ,52,https://www.epey.com/kompakt-fotograf-makinesi/sony-dsc-hx350.html
Sony DSC-HX60V,,20 MP,Full HD,2014 ,52,https://www.epey.com/kompakt-fotograf-makinesi/sony-dsc-hx60v.html
Nikon D7100 55-300mm,,24 MP,Full HD,2013 ,52,https://www.epey.com/dslr-fotograf-makinesi/nikon-d7100-55-300mm.html
Nikon D7100 55-200mm,,24 MP,Full HD,2013 ,51,https://www.epey.com/dslr-fotograf-makinesi/nikon-d7100-55-200mm.html
Nikon D7100 18-200mm,,24 MP,Full HD,2013 ,51,https://www.epey.com/dslr-fotograf-makinesi/nikon-d7100-18-200mm.html
Fujifilm X-T1,,16 MP,Full HD,2014 ,51,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t1.html
Nikon D7100 18-55mm,,24 MP,Full HD,2013 ,51,https://www.epey.com/dslr-fotograf-makinesi/nikon-d7100-18-55mm.html
Canon EOS M10 15-45mm,,18 MP,Full HD,2015 ,51,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-m10-15-45mm.html
Sony DSC-HX60,,20 MP,Full HD,2014 ,51,https://www.epey.com/kompakt-fotograf-makinesi/sony-dsc-hx60.html
Canon EOS 600D 18-135mm,,18 MP,Full HD,2011 ,51,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-600d-18-135mm.html
Sony DSC-WX350,,18 MP,Full HD,2014 ,51,https://www.epey.com/kompakt-fotograf-makinesi/sony-dsc-wx350.html
Nikon Coolpix P900,,16 MP,Full HD,2015 ,50,https://www.epey.com/kompakt-fotograf-makinesi/nikon-coolpix-p900.html
Sony DSC-RX100,,20 MP,Full HD,2012 ,50,https://www.epey.com/kompakt-fotograf-makinesi/sony-dsc-rx100.html
Nikon D3100 18-105mm,,14 MP,Full HD,2010 ,50,https://www.epey.com/dslr-fotograf-makinesi/nikon-d3100-18-105mm.html
Canon EOS 60D 18-55mm,,18 MP,Full HD,2010 ,50,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-60d-18-55mm.html
Canon PowerShot SX730 HS,,20 MP,Full HD,2017 ,50,https://www.epey.com/kompakt-fotograf-makinesi/canon-powershot-sx730-hs.html
Fujifilm X-A3 16-50mm,,24 MP,Full HD,2016 ,50,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-a3-16-50mm.html
Nikon D3100,,14 MP,Full HD,2010 ,49,https://www.epey.com/dslr-fotograf-makinesi/nikon-d3100.html
Fujifilm X70,,16 MP,Full HD,2016 ,49,https://www.epey.com/kompakt-fotograf-makinesi/fujifilm-x70.html
Fujifilm X-A3,,24 MP,Full HD,2016 ,49,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-a3.html
Yi M1 (Xiaomi),,20 MP,Ultra HD,2016 ,49,https://www.epey.com/aynasiz-fotograf-makinesi/xiaoyi-yi-m1.html
Canon EOS 1200D 18-135mm,,18 MP,Full HD,2014 ,49,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-1200d-18-135mm.html
Canon EOS 1200D,,18 MP,Full HD,2014 ,48,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-1200d.html
Fujifilm X-T10,,16 MP,Full HD,2015 ,48,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t10.html
Fujifilm X-E2S 18-55mm,,16 MP,Full HD,2016 ,47,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-e2s-18-55mm.html
Fujifilm X-E2S,,16 MP,Full HD,2016 ,47,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-e2s.html
Nikon Coolpix AW130,,16 MP,Full HD,2015 ,46,https://www.epey.com/kompakt-fotograf-makinesi/nikon-coolpix-aw130.html
Canon PowerShot SX610 HS,,20 MP,Full HD,2015 ,45,https://www.epey.com/kompakt-fotograf-makinesi/canon-powershot-sx610-hs.html
Canon PowerShot SX530 HS,,16 MP,Full HD,2015 ,45,https://www.epey.com/kompakt-fotograf-makinesi/canon-powershot-sx530-hs.html
Nikon 1 J4,,18 MP,Full HD,2014 ,45,https://www.epey.com/aynasiz-fotograf-makinesi/nikon-1-j4.html
Kodak Pixpro AZ652,,20 MP,Full HD,2015 ,45,https://www.epey.com/kompakt-fotograf-makinesi/kodak-pixpro-az652.html
Fujifilm FinePix XP130,,16 MP,Full HD,2018 ,45,https://www.epey.com/kompakt-fotograf-makinesi/fujifilm-finepix-xp130.html
Nikon Coolpix A900,,20 MP,Ultra HD,2016 ,45,https://www.epey.com/kompakt-fotograf-makinesi/nikon-coolpix-a900.html
Nikon D90,,12 MP,HD,2008 ,44,https://www.epey.com/dslr-fotograf-makinesi/nikon-d90.html
Canon IXUS 285 HS,,20 MP,-,-,44,https://www.epey.com/kompakt-fotograf-makinesi/canon-ixus-285-hs.html
Nikon D5000 18-105mm,,12 MP,HD,2009 ,44,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5000-18-105mm.html
Panasonic Lumix DMC-TZ35,,16 MP,Full HD,2013 ,43,https://www.epey.com/kompakt-fotograf-makinesi/panasonic-dmc-tz35.html
Nikon D5000,,12 MP,HD,2009 ,43,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5000.html
Samsung NX20,,20 MP,Full HD,2012 ,43,https://www.epey.com/aynasiz-fotograf-makinesi/samsung-nx20.html
Sony DSC-WX5,,12 MP,Full HD,2010 ,42,https://www.epey.com/kompakt-fotograf-makinesi/sony-dsc-wx5.html
Canon PowerShot SX420 IS,,20 MP,HD,2016 ,42,https://www.epey.com/kompakt-fotograf-makinesi/canon-powershot-sx420-is.html
Samsung NX Mini,,20 MP,Full HD,2016 ,42,https://www.epey.com/aynasiz-fotograf-makinesi/samsung-nx-mini.html
Canon PowerShot SX430 IS,,20 MP,HD,2017 ,42,https://www.epey.com/kompakt-fotograf-makinesi/canon-powershot-sx430-is.html
Nikon CoolPix B500,,16 MP,Full HD,2016 ,42,https://www.epey.com/kompakt-fotograf-makinesi/nikon-coolpix-b500.html
Kodak PIXPRO S-1,,16 MP,Full HD,2014 ,42,https://www.epey.com/aynasiz-fotograf-makinesi/kodak-pixpro-s-1.html
